Pop,MinNe,MeanNe,MedianNe,MaxNe
Choy,219187.973077,288567.64575346,258643.4816785,706222.186384
Molino,1803.13632782,8023.71244811362,7874.07882017,17463.4697838
Pachon,3052.03948912,26622.5438275607,31221.0596319,46023.7432481
Rascon,128892.736612,217889.160129799,192583.875841,472040.643463
Tinaja,11144.6963875,27176.186247161,30522.1497952,42453.0983438
